Ticker,Frequency
$GME,268
$AMC,61
$CLOV,26
$NOK,17
$SNDL,13
$DOGE,12
$NAKD,11
$SKT,9
$ATOS,8
$HCMC,7
$BB,7
$ZOM,7
$SLV,6
$BLIAQ,5
$SAVA,5
$ENZC,5
$TSLA,4
$COCK,4
$UWMC,4
$CCIV,4
$TSNP,4
$CRSR,4
$WKHS,4
$CTRM,3
$GNUS,3
$VXRT,3
$GOEV,3
$SPCE,3
$PENN,3
$OZSC,3
$KMPH,3
$BBBY,2
$VNUE,2
$MNKD,2
$NAK,2
$EVOK,2
$MSOS,2
$BANG,2
$KWBT,2
$TLRY,2
$ALPP,2
$FCMM,2
$HALL,2
$IDEX,2
$SIFY,2
$OGI,2
$IBIO,2
$ATNF,2
$BILLPHANTOM,2
$NAT,2
$GPFT,2
$Q,2
$PINS,2
$GMODS,1
$ABML,1
$SOS,1
$LVVV,1
$GAMESTOP,1
$VGAC,1
$TRXC,1
$DMRC,1
$COCP,1
$BIOC,1
$POLA,1
$RIBT,1
$BYDDY,1
$HOLD,1
$SLS,1
$HYRE,1
$FUV,1
$F,1
$DTEA,1
$GOODMORNINGEVERYONE,1
$AMD,1
$EBAY,1
$PLTR,1
$UXIN,1
$RKT,1
$ETH,1
$FOUR,1
$TGHI,1
$CMGR,1
$AMAZON,1
$NEED,1
$FTEG,1
$TNXP,1
$WWR,1
$AQB,1
$RTRD,1
$SBES,1
$STWC,1
$ONPH,1
$NLSP,1
$KOSS,1
$BTC,1
$PLUG,1
$TRIL,1
$HIT,1
$IMAC,1
$TYME,1
$BLCT,1
$S,1
$M,1
$APT,1
$ABB,1
$AI,1
$SHOP,1
$PHUN,1
$MAT,1
$DODGE,1
$DOGECOIN,1
$VSPC,1
$AMY,1
$NIO,1
$AMAT,1
$TAK,1
$NEXE,1
$MINE,1
$YALA,1
$NPHC,1
$MGTI,1
$TSOI,1
$SOLO,1
$GRWG,1
$CRMD,1
$SFOR,1
$AVXL,1
$FUTL,1
$AKBA,1
$INO,1
$AMCI,1
$MA,1
$FIRE,1
$PTN,1
$XAIR,1
$FVRR,1
$RITE,1
$SNSE,1
$KOPN,1
$SNX,1
$SPARTA,1
$ADMP,1
$SING,1
$TRVG,1
$VALE,1
$SINO,1
$ALYI,1
$GPS,1
$EXPR,1
$ARMK,1
$AABB,1
$CPSH,1
$GOOS,1
$CUK,1
$SPMT,1
$AG,1
$MKD,1
$LIZI,1
$ASO,1
$CLSH,1
$BZTG,1
$MRVL,1
$LFG,1
$RLTR,1
$AAPL,1
$YRCW,1
$AMYZF,1
$CLNE,1
$SWKS,1
$HIPH,1
$AEZS,1
$FCEL,1
$FUBO,1
$ISWH,1
$DASH,1
$MJNA,1
$GFAMSA,1
$MTCH,1
$LUV,1
$BFT,1
